r_ref,a,b,m,n1,n2,n3
0.00254,5.116129,4.167204,2,4.356254,5.438075,4.063789
0.00254,10.601429,4.232689,12,5.613844,6.558402,11.802689
0.00254,0.985919,1.482321,16,5.862977,9.423025,1.721911
0.00254,2.80393,2.023011,15,2.626863,3.255466,3.322674
0.00254,4.322823,1.954005,12,2.231272,1.725801,2.366191
0.00254,5.547501,3.802074,2,11.04352,6.756716,3.195796
0.00254,4.219052,1.416243,13,6.013509,3.446719,4.544007
0.00254,3.691541,12.603833,16,4.177377,2.769491,1.821984
0.00254,0.483848,0.738528,12,2.204398,3.908912,7.90799
0.00254,5.57196,1.361211,10,7.116751,1.613454,4.094041
0.00254,1.514706,1.794536,14,2.558032,7.206142,10.269167
0.00254,2.144569,1.83694,15,7.410048,2.155246,2.812421
0.00254,5.664936,2.61647,15,6.933429,5.41369,7.742763
0.00254,2.778206,3.727703,5,12.931909,2.278359,1.156743
0.00254,3.658728,1.585887,11,8.645519,2.998258,8.821462
0.00254,4.430059,13.784794,2,6.223514,9.106494,0.887536
0.00254,4.133776,4.045814,10,7.354667,5.358225,6.306032
0.00254,1.927375,0.208801,13,10.27034,3.053829,7.448284
0.00254,2.115136,5.796386,15,3.14211,5.9157,6.638781
0.00254,6.251866,4.863535,16,20.13444,1.4507,4.541748
0.00254,5.228485,11.215948,8,7.333723,2.53244,1.913423
0.00254,0.106133,0.877428,12,6.043502,0.933949,10.322955
0.00254,5.753009,0.702869,15,11.78234,0.65978,6.278076
0.00254,2.139176,3.117504,5,3.566865,3.55013,4.401163
0.00254,3.945135,2.271754,12,2.372896,1.834107,5.233693
0.00254,0.770396,3.140167,11,1.841141,4.825446,3.489019
0.00254,3.164251,3.283345,2,7.441173,3.496486,3.850054
0.00254,3.136136,4.75927,13,6.025771,4.667378,2.44136
0.00254,1.354009,0.871191,9,3.538931,4.355131,7.54953
0.00254,1.670037,1.65861,15,12.554568,8.998516,4.4897
0.00254,0.656463,1.612199,11,4.500187,5.520394,3.174757
0.00254,2.859942,8.155988,2,6.103792,5.27544,4.375882
0.00254,1.76629,5.191128,10,8.802109,4.688532,4.865528
0.00254,0.704528,0.398118,12,8.050089,9.27781,2.906003
0.00254,3.36431,2.033244,16,1.725047,6.755668,8.101098
0.00254,4.937715,4.83997,3,5.318906,3.618864,4.498774
0.00254,0.362366,2.773983,16,11.031134,5.219521,5.77128
0.00254,6.536523,8.959389,7,6.970118,6.701105,3.686484
0.00254,3.119205,1.064512,3,2.79072,8.186718,4.528419
0.00254,1.62104,1.376769,11,3.291944,4.54139,9.333809
0.00254,5.244837,0.657763,8,12.010448,3.244089,7.353738
0.00254,1.204058,3.616586,12,3.500444,8.512013,1.34899
0.00254,0.45346,0.600706,9,4.846347,3.434106,9.600423
0.00254,3.078196,5.186452,12,9.072869,2.82728,4.216859
0.00254,5.398225,2.622002,13,8.956916,1.665689,5.096334
0.00254,0.358173,0.472457,2,1.775667,4.182214,4.959009
0.00254,1.221025,1.810695,12,5.883903,5.805504,18.192726
0.00254,5.104014,8.480369,12,6.637502,3.577167,3.148711
0.00254,1.598173,2.004941,11,6.274147,6.988313,3.610059
0.00254,0.582656,2.920007,9,8.10353,4.634377,2.282348
0.00254,2.739347,5.278401,12,3.67319,5.032563,5.653749
0.00254,0.891511,1.844939,9,3.336702,8.199303,2.634363
0.00254,3.430833,6.292946,12,5.771823,5.480993,5.430909
0.00254,1.674828,4.950741,16,3.796228,12.615128,3.5612
0.00254,0.774163,8.678615,3,6.899658,5.938521,0.786711
0.00254,5.20544,5.476562,15,3.419055,5.328677,9.200246
0.00254,0.958636,2.194934,2,2.657338,8.539484,4.042456
0.00254,1.049842,2.135488,16,4.825362,4.064811,3.262798
0.00254,0.286835,1.227749,3,5.032525,11.953915,8.032336
0.00254,4.914772,2.885569,8,4.526,7.217929,7.303412
0.00254,2.837288,1.697527,8,5.536737,9.615146,8.943152
0.00254,8.531707,3.079147,15,6.178954,5.531603,8.787745
0.00254,4.631983,1.614398,9,6.167532,4.018469,6.250061
0.00254,4.528375,2.010577,16,7.445762,5.485526,8.30363
0.00254,6.87954,0.955825,12,3.7242,4.718036,10.865944
0.00254,4.558044,2.298224,11,3.861541,3.484552,4.997502
0.00254,2.260345,9.599987,3,5.907001,6.858973,6.460927
0.00254,0.824706,0.358261,9,6.172293,6.586108,7.322704
0.00254,0.807378,2.173704,4,5.70961,5.919058,8.255856
0.00254,1.293533,1.503353,5,3.316653,5.225118,1.795438
0.00254,4.461321,5.814014,7,5.605359,4.014062,3.017386
0.00254,1.432174,1.238718,3,12.781491,3.748921,3.139525
0.00254,5.685082,1.335626,8,14.560749,2.725004,2.166369
0.00254,1.769806,4.310395,12,5.025646,12.446524,7.583641
0.00254,1.743317,1.675036,6,3.621512,3.509542,2.789115
0.00254,1.27056,0.705856,3,6.870244,2.4123,2.315169
0.00254,2.122905,4.924726,11,4.539409,7.210521,9.519568
0.00254,4.021173,4.93992,15,5.234133,11.835137,9.695127
0.00254,1.95642,3.284824,11,4.228321,6.181833,2.819007
0.00254,0.622033,1.147799,13,7.120265,1.440713,7.36438
0.00254,1.360753,7.309918,4,4.789456,2.937963,1.650079
0.00254,2.063076,1.546798,9,3.873689,6.749953,14.038335
0.00254,1.370788,1.202755,14,3.095742,3.825836,6.777886
0.00254,1.879712,1.050006,4,6.133033,3.456223,6.168136
0.00254,2.011877,3.005435,12,4.162794,4.582247,5.842514
0.00254,7.599985,2.256469,13,5.388886,4.988164,7.818547
0.00254,1.144282,1.022435,14,2.003535,6.730868,5.646661
0.00254,3.263834,1.228407,9,7.822827,4.571947,15.482881
0.00254,11.684094,7.975447,4,14.390436,4.079481,7.162499
0.00254,3.198632,3.855428,5,8.493903,5.261746,8.109516
0.00254,0.629123,4.37423,2,4.213865,13.170511,14.6862
0.00254,1.593355,2.907573,6,1.762008,6.851544,3.459124
0.00254,0.870585,0.467902,8,14.280931,10.333744,3.506868
0.00254,4.732756,3.011386,10,7.377828,5.687621,7.410534
0.00254,3.080823,3.120914,11,4.421395,4.925989,9.776829
0.00254,2.645804,2.861952,13,2.423126,2.409591,3.300535
0.00254,2.918441,6.484849,3,10.584028,3.344215,6.207284
0.00254,4.206343,4.451541,3,10.510422,6.172543,6.880567
0.00254,2.822865,4.135681,12,7.381426,6.326801,10.081169
0.00254,0.773251,4.182316,6,13.252326,4.000841,3.262907
0.00254,3.302192,0.611459,9,8.393019,4.970217,15.530064
0.00254,0.281105,3.662299,3,2.243949,5.307283,3.094373
0.00254,1.612511,1.460707,6,5.451287,2.950143,5.719536
0.00254,5.703434,4.188704,2,2.133697,7.490533,6.987279
0.00254,6.445253,3.990523,11,5.106284,7.493897,15.623567
0.00254,2.2098,1.161535,7,3.78175,3.408746,7.031056
0.00254,1.567463,5.169029,2,5.073656,5.785812,6.891809
0.00254,3.654602,3.150201,4,4.563097,1.135556,1.726528
0.00254,2.489374,1.171503,14,5.106905,6.935237,5.404949
0.00254,5.314781,6.025107,3,6.938541,6.564271,1.742831
0.00254,3.4468,1.047717,14,3.9026,4.223431,5.902413
0.00254,1.233242,2.057114,4,5.664395,13.15834,2.057513
0.00254,4.17367,3.763577,11,6.755841,7.992273,9.045868
0.00254,1.428853,1.782192,6,5.691503,1.23943,2.174664
0.00254,1.555512,1.142013,10,2.652684,0.819552,4.141849
0.00254,1.204069,0.735474,3,6.228117,10.914955,3.669608
0.00254,1.234094,0.983268,4,5.559463,5.937325,6.598466
0.00254,1.917904,1.54259,3,10.11195,6.528815,5.964925
0.00254,1.613297,2.936502,4,2.79058,3.920806,1.828174
0.00254,1.854145,3.906207,6,2.470264,3.238773,0.723152
0.00254,0.40216,1.039369,16,4.016861,10.988591,9.394164
0.00254,1.959333,0.425599,2,1.521429,9.24781,5.002398
0.00254,1.205216,0.969135,15,6.574468,8.308738,2.97276
0.00254,0.68579,5.224373,3,2.577323,6.144433,4.540533
0.00254,2.510824,1.368929,14,3.481048,5.793754,6.070982
0.00254,0.811737,1.440086,14,9.864207,7.50197,8.64776
0.00254,2.906361,3.446179,12,5.914706,3.272311,6.034225
0.00254,5.250129,3.546345,2,6.290714,1.81667,3.12068
0.00254,2.710057,1.547935,2,8.12737,2.202765,3.555895
0.00254,7.494565,2.355182,8,4.095875,6.090872,12.750576
0.00254,2.387228,1.835851,10,2.649524,3.691493,7.714748
0.00254,1.550536,0.587121,13,2.903722,1.858178,1.571823
0.00254,1.461469,0.623835,11,14.269906,4.433076,2.037545
0.00254,1.343835,0.299789,14,8.391087,7.839054,7.247514
0.00254,1.926283,4.546981,9,3.781737,3.63739,1.690146
0.00254,1.850511,2.386867,13,6.151905,2.956977,3.78282
0.00254,4.198845,1.640458,3,4.946428,3.577941,10.5132
0.00254,1.76603,4.53832,12,5.7035,6.249391,7.995376
0.00254,4.052179,1.728995,2,8.76751,3.577888,3.30268
0.00254,2.733258,2.397441,13,8.617319,6.83928,4.658593
0.00254,3.119509,2.674518,12,6.759581,10.000981,8.945087
0.00254,4.899146,0.501108,3,9.548776,5.76391,1.807146
0.00254,0.559892,2.043526,11,2.531749,5.924197,3.12214
0.00254,1.530254,2.079329,2,6.931668,3.732826,3.692948
0.00254,1.144839,1.240024,16,7.341627,2.626877,4.474259
0.00254,4.926085,2.647265,14,8.420207,3.657898,13.712423
0.00254,2.429713,3.139172,16,9.176551,7.011404,5.950581
0.00254,2.837611,1.352446,8,9.961833,4.497566,5.123663
0.00254,3.397149,3.590031,3,5.600334,6.537175,10.948149
0.00254,6.030381,0.996354,4,8.570075,4.193288,1.929417
0.00254,4.967438,2.761371,12,13.223622,2.852184,5.938422
0.00254,0.246116,2.795722,12,18.852085,2.553359,1.361941
0.00254,0.634659,0.362451,7,1.87108,4.147986,3.371889
0.00254,0.371314,1.100125,12,11.13907,7.861287,5.830475
0.00254,0.603339,2.640207,4,3.807606,2.824796,5.63069
0.00254,2.833396,2.61806,12,7.186476,5.602861,1.104018
0.00254,4.03189,2.2092,2,11.542008,2.6988,10.615064
0.00254,1.502635,0.716079,8,4.896485,2.136384,4.868666
0.00254,3.90962,3.579936,5,13.142513,7.996641,5.046164
0.00254,4.169265,5.152438,7,7.460824,5.509632,4.022259
0.00254,4.427296,3.66917,13,1.84033,8.18346,6.847232
0.00254,0.947454,3.546772,15,11.296939,4.189182,6.773379
0.00254,6.740948,0.849364,3,3.151711,3.137577,3.834376
0.00254,2.485308,1.842866,14,3.169624,6.081747,4.598252
0.00254,4.682273,10.418298,9,3.778705,7.87886,5.2248
0.00254,1.544546,1.727577,7,5.0455,1.712653,1.927606
0.00254,11.56313,5.959729,3,5.402175,12.296058,7.779032
0.00254,1.162879,1.032368,11,9.440482,6.028618,5.624067
0.00254,1.192735,6.644316,4,17.566766,13.741563,2.964022
0.00254,1.74904,5.35385,8,18.503139,3.197554,6.580439
0.00254,4.180017,1.242962,13,4.212902,3.685612,8.704392
0.00254,0.323993,1.511599,15,20.821725,0.586799,5.559502
0.00254,3.325507,0.18873,12,11.780984,4.930711,3.807885
0.00254,0.884024,6.422477,2,5.292909,9.16043,6.816504
0.00254,1.070862,1.134741,2,3.630548,5.471027,8.644638
0.00254,2.255007,0.731604,7,9.984267,6.396165,4.210193
0.00254,1.298344,3.486918,13,12.935919,4.369323,2.987104
0.00254,1.872912,1.212041,3,19.152244,2.437103,2.894065
0.00254,4.416826,3.180093,9,6.017168,8.810824,12.283987
0.00254,1.368516,0.642943,9,5.177206,2.953116,4.837082
0.00254,1.159114,0.409623,13,2.5072,5.268622,13.777696
0.00254,2.231073,0.620451,6,5.155557,4.48069,1.649319
0.00254,0.784102,0.550965,6,2.348384,2.491503,1.67494
0.00254,2.838794,4.209061,9,10.530759,5.042913,3.601821
0.00254,7.420374,0.230182,4,6.99305,2.988104,4.160422
0.00254,5.331725,6.94937,11,2.607263,5.441405,7.512554
0.00254,2.946747,5.456011,12,5.797088,4.299022,5.957605
0.00254,2.942752,1.999077,7,7.797161,6.093634,4.472671
0.00254,2.514722,3.028935,2,15.917255,5.504581,4.34445
0.00254,4.855987,2.195109,16,7.635221,6.277645,4.518463
0.00254,5.378118,2.887241,12,5.582543,2.919948,6.333125
0.00254,1.188658,1.620483,11,0.968945,5.325331,2.957959
0.00254,4.136431,9.553918,2,9.580672,5.11711,3.88748
0.00254,0.559014,0.188379,3,5.978516,3.591589,10.634293
0.00254,2.048965,6.446675,15,1.944682,7.848994,4.968986
0.00254,2.352277,4.742339,11,15.531719,6.041062,0.636058
0.00254,2.141233,3.883222,15,5.835166,6.671471,7.876431
0.00254,1.0637,5.186631,16,3.76154,3.786214,0.815496
0.00254,3.746439,1.984801,14,1.7176,5.784729,8.915065
0.00254,0.42578,0.725867,3,2.520813,2.267927,2.792854
0.00254,1.890846,2.203406,13,5.285566,4.294727,1.03383
0.00254,1.209775,3.215282,16,8.810457,7.010067,4.766869
0.00254,0.181139,0.471225,3,1.259113,2.401484,1.806989
0.00254,4.16721,1.534128,13,4.514898,2.833817,8.492612
0.00254,6.600372,3.125448,14,2.058859,5.622834,7.596203
0.00254,0.960992,5.736698,13,5.888386,3.160435,1.227905
0.00254,2.383032,1.609782,14,11.326058,9.600016,7.927922
0.00254,1.404031,4.330188,4,3.121151,4.163167,1.038817
0.00254,1.28923,1.156128,9,9.637441,5.327562,3.568283
0.00254,1.206769,0.884459,10,3.411081,1.51144,6.759466
0.00254,3.995236,3.373522,15,6.096107,3.048459,5.485389
0.00254,7.787665,0.956256,2,8.824029,1.34932,5.267108
0.00254,4.439616,1.39729,13,3.33332,3.740794,3.601649
0.00254,2.476436,0.824768,10,5.787457,4.628732,5.659642
0.00254,3.1578,1.960329,13,2.639642,8.259511,8.71621
0.00254,2.992709,4.380138,9,5.095019,8.801267,5.980324
0.00254,2.221728,5.203752,2,1.114442,2.715862,4.796353
0.00254,1.261792,1.203275,13,7.63954,3.31076,5.981716
0.00254,8.730721,1.791794,7,9.486039,2.30002,6.833397
0.00254,4.419436,4.859373,4,9.137939,1.317258,5.075886
0.00254,1.71008,4.835704,4,4.644432,3.678545,2.383923
0.00254,1.731865,2.94931,10,5.270141,7.940435,9.95084
0.00254,3.425028,2.944397,5,3.690819,2.037009,6.366121
0.00254,1.014088,0.692914,8,3.923228,3.130415,5.347826
0.00254,1.017867,4.941521,16,3.665518,9.549922,4.188083
0.00254,1.447755,2.497343,12,2.901345,8.393217,1.643399
0.00254,0.687379,3.791691,2,11.490658,10.23299,8.341278
0.00254,3.773999,2.61153,9,6.19785,10.876249,9.210761
0.00254,5.510929,0.603196,8,8.195967,0.79139,4.747136
0.00254,7.7132,0.807582,14,13.067667,2.323068,4.663458
0.00254,5.01873,2.632907,5,7.589044,2.094787,2.657266
0.00254,1.680153,2.041391,6,13.758655,7.168782,7.110222
0.00254,1.676573,2.183887,8,6.847509,4.212321,4.318971
0.00254,4.172352,1.233693,10,10.413956,5.9943,10.328548
0.00254,1.425456,1.877791,12,4.465325,7.446676,7.342215
0.00254,1.65884,1.17078,15,4.880771,4.779685,4.598757
0.00254,5.338885,5.620685,11,1.677574,4.053815,4.431083
0.00254,4.366293,0.846272,2,5.283511,4.157722,4.043867
0.00254,1.839938,8.835784,10,7.478956,7.330967,5.638648
0.00254,1.797812,2.328227,3,2.236018,5.777081,3.124795
0.00254,4.124396,0.81995,2,1.79562,2.419336,4.050716
0.00254,6.74649,3.841433,12,9.707887,8.67258,5.599289
0.00254,0.378496,6.27083,12,8.74635,5.164087,3.131168
0.00254,0.34409,3.213348,11,9.272752,5.141357,1.487436
0.00254,5.157198,4.762174,2,6.232318,7.304893,3.738672
0.00254,3.578499,6.989352,10,2.643501,10.964396,7.975478
0.00254,2.091393,2.549921,15,9.149299,5.400865,3.670948
0.00254,4.475078,1.586057,10,14.382151,2.67245,8.245316
0.00254,2.925665,0.205486,2,9.717581,9.190962,12.580516
0.00254,3.921281,4.790236,3,5.076113,10.825297,6.562229
0.00254,6.461446,0.639158,12,14.153126,7.441909,14.89187
0.00254,3.155961,1.190756,15,7.467443,2.490563,13.156341
0.00254,1.605596,2.336933,2,6.269937,5.232825,6.828252
0.00254,2.172465,1.139908,7,4.578939,2.899514,4.736072
0.00254,6.745192,2.217499,16,10.490623,2.511125,10.11922
0.00254,2.301938,9.001986,2,1.866616,8.552156,5.661758
0.00254,1.208091,0.460756,3,3.833003,3.097393,13.54046
0.00254,10.290286,1.841025,6,11.958171,3.572814,4.06648
0.00254,2.783189,1.619729,16,2.628591,2.595424,10.88236
0.00254,5.104221,5.626369,14,6.738706,11.361003,8.767771
0.00254,1.996237,3.674823,11,7.203126,6.452338,7.132983
0.00254,3.192942,7.025335,14,4.765206,8.00701,8.34803
0.00254,1.445367,1.511049,2,8.13761,2.994135,5.349022
0.00254,2.636351,1.118381,16,7.167151,4.081047,8.33082
0.00254,6.206132,8.986053,13,12.867464,5.555958,4.690867
0.00254,2.300911,4.48662,14,5.661569,7.856894,4.545791
0.00254,3.344688,1.970906,13,9.822411,7.678867,13.103267
0.00254,4.738693,6.312373,3,8.202488,4.110956,4.722845
0.00254,3.750646,1.486097,11,5.925143,3.445227,10.557843
0.00254,2.498374,1.107756,2,6.979811,2.649791,1.952293
0.00254,6.243426,2.49638,3,4.852747,6.438415,3.479452
0.00254,2.130998,5.833255,10,4.611801,9.136594,6.561633
0.00254,2.243729,1.37053,16,9.325606,9.911184,9.03837
0.00254,1.80284,0.794313,7,6.510073,8.210552,5.23576
0.00254,2.172538,1.814599,10,6.037735,4.878827,9.997886
0.00254,3.336555,2.246001,16,11.378641,4.734028,13.325871
0.00254,5.454549,2.060776,13,9.019499,5.755159,8.271036
0.00254,4.340562,1.439257,14,11.777945,2.145999,10.649568
0.00254,0.851612,2.401017,3,5.493941,5.680719,6.014642
0.00254,3.540588,1.688475,14,19.229674,6.609636,7.623703
0.00254,2.916444,4.727097,10,11.035162,7.09876,3.998083
0.00254,1.963152,1.868475,6,8.599549,3.212677,1.054209
0.00254,5.237205,1.668819,3,7.888043,4.179473,3.285789
0.00254,0.2883,2.624733,11,8.878387,9.604622,3.551073
0.00254,3.021139,1.752343,9,13.498859,12.13883,4.342748
0.00254,0.710924,4.262801,15,5.195642,5.408328,1.378449
0.00254,2.468807,2.934225,4,5.703387,3.90068,5.72513
0.00254,3.136656,2.115889,7,3.123207,3.835256,5.216531
0.00254,2.277297,4.304718,12,6.061602,9.070658,3.430496
0.00254,2.570866,0.911773,2,5.972328,5.427939,2.28224
0.00254,2.240864,5.238005,10,4.313917,8.551383,6.511879
0.00254,3.47324,6.815091,11,10.592693,6.751261,10.074171
0.00254,8.201607,2.866385,5,4.52538,1.947179,6.795797
0.00254,0.902417,1.403616,9,5.017421,11.169248,6.678667
0.00254,1.131688,5.516289,6,5.356472,3.813499,0.490676
0.00254,1.11102,5.19699,15,8.639183,8.528174,5.728639
0.00254,2.555803,6.971819,3,2.930923,5.236822,7.449429
0.00254,4.374841,6.215174,12,6.666636,4.669675,8.90077
0.00254,3.633925,3.695239,13,15.211678,8.696641,2.126607
0.00254,0.719732,7.40009,5,1.4793,11.366437,4.564817
0.00254,0.714455,1.360107,12,2.52723,4.742684,2.47344
0.00254,5.099027,3.068953,7,2.007245,2.043453,1.904918
0.00254,3.54105,3.205472,2,5.753657,3.477213,4.72183
0.00254,4.207464,4.952081,10,2.302026,4.257163,5.239504
0.00254,1.770713,1.848782,10,8.823225,5.025946,10.61939
0.00254,11.110203,4.639179,3,5.994504,8.825005,7.472976
0.00254,1.563751,1.101884,3,2.905436,0.85286,4.239496
0.00254,1.936526,2.311871,16,8.467913,3.207029,9.455635
0.00254,1.009658,7.613879,14,3.086389,5.457625,1.809498
0.00254,1.299135,2.361333,11,6.095492,3.546527,2.763274
0.00254,7.57425,1.181667,2,7.397881,2.199607,5.258204
0.00254,1.175194,7.424461,10,3.99631,6.751201,2.980233
0.00254,0.49956,0.326482,10,8.209296,15.811371,4.656978
0.00254,2.584009,1.374,12,4.616947,8.981727,8.171719
0.00254,2.382598,2.319698,8,4.899814,2.152152,2.432027
0.00254,1.440429,1.018195,7,5.311439,9.114959,2.170085
0.00254,3.772414,2.102198,3,2.682795,8.21708,4.245355
0.00254,4.992412,3.384622,3,7.440298,5.117276,3.887193
0.00254,1.608583,2.077336,6,12.544393,8.674681,4.664409
0.00254,0.783187,0.920954,10,5.342433,7.024365,1.110234
0.00254,1.827595,1.329953,15,7.764271,3.215361,3.571355
0.00254,1.716853,0.637736,9,4.411599,7.656105,2.605149
0.00254,4.079873,2.889848,2,5.414269,1.550522,5.511943
0.00254,0.701593,2.978069,2,4.46107,0.894745,4.465083
0.00254,4.434424,3.800333,14,7.22788,2.535698,1.651387
0.00254,1.851025,1.844069,2,3.082058,4.516251,1.857546
0.00254,0.302072,0.438685,11,4.241984,3.242188,6.801105
0.00254,3.403421,1.301564,13,6.24657,3.387988,2.738301
0.00254,1.386972,5.267668,3,8.418858,2.206526,3.9753
0.00254,6.673367,13.834093,4,3.070261,3.611851,2.003735
0.00254,2.865627,1.482682,12,7.659032,2.755192,1.757892
0.00254,0.774143,0.564168,14,2.636663,4.048012,4.028881
0.00254,4.06312,0.381903,5,5.060857,2.717864,2.450732
0.00254,0.587066,2.687499,15,8.529185,10.230629,7.343785
0.00254,8.76353,5.251223,4,7.317209,6.485435,6.177036
0.00254,6.624695,0.938294,2,2.499847,4.375724,11.428921
0.00254,0.080434,6.692478,2,8.526435,14.178387,2.781246
0.00254,5.335011,1.629087,4,7.054016,1.73276,7.03719
0.00254,3.983729,1.600328,3,3.051009,2.053762,1.62106
0.00254,7.536398,2.199421,2,1.451155,10.189317,8.192327
0.00254,2.389769,14.063909,6,13.441045,9.129507,3.09259
0.00254,9.082335,3.342092,16,4.778261,3.042655,6.542215
0.00254,3.635929,2.98096,4,20.133905,6.212758,3.779156
0.00254,9.062385,3.923013,2,4.633017,2.814588,7.070793
0.00254,1.460482,0.520866,7,3.599941,3.707863,4.896215
0.00254,1.020124,3.684307,6,9.143098,3.313469,1.453227
0.00254,4.885965,1.64642,16,6.524809,4.49967,5.351292
0.00254,3.600544,5.698789,13,6.779931,6.502375,5.665172
0.00254,1.914442,1.610692,12,14.337301,12.583223,2.302751
