m,n1,n2,n3,a,b,eta,lambda
7.103,3.4,3.9902,4.25,0.71062,0.51163,25,750.78
6.773,3.4,5.9541,4.25,1.9946,1.7758,25,750.78
7.3123,3.4,3.9198,4.25,0.59048,0.52123,25,750.78
4.8033,3.4,3.8222,4.25,0.63036,1.0435,25,750.78
1.4231,3.4,1.9285,4.25,1.1499,0.83186,25,750.78
2.8444,3.4,2.0405,4.25,1.5961,0.64871,25,750.78
3.1361,3.4,4.7811,4.25,0.5564,0.57273,25,750.78
6.0217,3.4,3.6085,4.25,0.57682,0.37994,25,750.78
2.2452,3.4,1.2269,4.25,0.64056,0.85086,25,750.78
4.3286,3.4,4.6716,4.25,1.9721,1.171,25,750.78
1.1123,3.4,4.3582,4.25,0.83386,0.60514,25,750.78
6.8236,3.4,1.3889,4.25,1.0082,0.82336,25,750.78
1.9295,3.4,5.5,4.25,0.39222,1.437,25,750.78
6.6792,3.4,5.4578,4.25,0.27854,0.3259,25,750.78
2.3432,3.4,3.5664,4.25,1.0659,1.9255,25,750.78
