Position,Angle,Filter Size
60,2.0157,1.8968
5,3.1035,1.4238
33,2.1956,1.4797
5,1.4111,1.4607
53,1.1877,2.2752
30,0.83373,2.422
39,3.0493,2.2615
10,0.56065,2.3272
17,0.5294,1.1083
4,0.46976,2.4142
10,0.95869,1.1259
5,0.64886,2.2167
20,0.13427,1.2068
19,0.7111,2.1517
50,0.53198,2.3536
55,1.4851,1.9213
5,0.49261,2.3387
33,2.4343,2.1069
54,2.2683,1.6267
6,0.076164,2.3482
8,1.9742,1.6785
21,2.5001,1.7187
45,0.80521,2.2855
36,2.62,1.221
53,1.7095,1.825
41,1.799,2.3995
11,0.61641,1.5689
32,0.10358,1.1477
54,0.84222,1.6031
42,1.6501,1.3497
27,3.0441,1.2622
15,0.51945,2.4642
24,1.4791,1.6797
15,0.97333,1.2502
53,0.47565,2.1982
7,2.2042,1.7794
41,1.2801,1.5869
48,1.9276,2.0483
55,2.9201,1.4916
34,2.1224,1.2146
34,1.0397,1.7847
21,0.46674,1.8192
35,3.1358,1.431
35,1.359,1.3042
1,1.2579,2.0075
2,0.90259,1.4581
41,2.6044,1.6977
23,1.7634,2.3756
48,2.3741,2.3957
18,2.1293,2.4582
7,2.7895,1.6534
6,1.3852,1.4569
18,2.3407,1.3852
9,1.6915,2.1457
47,1.168,2.059
37,0.3377,1.8839
47,1.0085,1.6748
2,1.5515,2.4389
29,3.1071,1.811
22,0.47152,1.6678
26,0.22312,1.6284
23,1.1676,1.3326
33,2.2757,2.2244
17,2.5753,2.0438
44,2.4742,1.5295
51,1.4766,2.3335
56,2.8835,1.9976
41,0.16882,1.4107
59,3.0103,1.8194
36,0.60785,1.9784
16,0.060214,1.762
21,2.2536,1.4146
59,0.83548,1.8171
30,0.71349,1.5062
4,1.2172,2.1068
10,2.6354,1.9503
22,2.7169,2.126
9,2.7444,1.3736
17,1.7596,2.2434
27,1.5296,2.3719
38,1.0946,1.9798
34,2.0054,1.6789
21,2.8603,2.2064
54,1.9065,1.4736
52,0.89901,2.1429
8,2.188,1.6254
26,1.8747,1.3021
19,1.0915,1.1937
20,2.5805,2.2009
29,0.93843,2.0423
28,2.408,1.3195
32,1.8535,2.2356
34,1.1894,1.111
1,0.27534,1.4792
4,2.8673,1.5464
12,0.60016,1.6138
39,0.26991,2.0932
48,0.4457,1.3682
3,1.1205,1.5049
24,0.88858,2.4123
3,1.7888,1.4499
26,1.5666,1.2259
50,2.8316,1.1014
33,0.021586,1.3078
32,2.3208,1.2051
19,0.62314,1.6711
36,0.60551,1.1283
26,1.3516,1.4125
44,1.8627,2.1448
54,0.0081719,2.2173
43,1.4961,2.0145
25,1.1019,1.5795
27,1.5246,1.8348
42,1.9592,1.6451
13,2.2585,2.082
24,0.088582,2.0094
42,2.6319,1.3674
33,0.82137,1.8097
29,2.4495,1.8951
23,0.74904,2.2965
28,1.3763,1.713
5,2.2446,1.4252
35,2.9446,2.3236
8,2.1684,1.3625
26,2.2798,1.6516
41,1.6636,1.7375
18,0.69311,2.1222
55,2.9827,1.9222
19,0.975,2.3801
27,1.8496,1.6066
15,1.8925,2.1858
4,1.1142,2.0014
51,2.9463,1.8565
55,1.442,2.0024
28,0.28569,2.0708
52,1.928,2.403
9,2.8594,1.1786
13,0.75109,1.6895
3,0.044916,1.5001
57,2.8428,1.3565
26,0.069944,1.2365
3,2.424,1.801
43,2.7259,1.4239
13,2.4845,1.7611
28,2.1911,1.7293
4,0.57493,2.4288
27,2.3943,1.4151
28,0.31549,1.4597
58,2.4899,1.9661
14,1.6875,1.8707
49,0.81623,2.4462
25,0.20754,1.3055
24,1.3099,1.1569
8,0.75058,1.9853
1,0.81089,2.4702
48,0.4285,1.2503
13,1.9813,1.661
24,2.2025,2.3816
10,3.0568,2.2783
45,2.0041,1.1581
59,2.7995,2.4705
44,0.70943,1.6663
5,0.28253,1.3162
45,1.5732,1.845
55,0.85553,1.3269
46,0.21045,1.3747
47,1.3728,2.0389
27,2.1307,1.8196
34,1.8439,1.8382
46,1.5548,2.0526
29,2.5063,1.8303
29,1.7043,1.2778
12,0.48383,1.7838
23,0.904,2.3674
24,1.4319,1.4219
1,1.0914,2.0054
20,0.81583,2.269
45,0.68958,2.092
23,2.2058,1.2613
14,1.7302,2.4703
59,0.096128,2.1627
19,2.294,1.7245
16,1.8443,2.1496
6,2.9605,1.7251
16,1.9496,2.1701
9,1.4292,2.4709
34,2.2087,2.4948
29,2.8522,2.0362
35,0.51058,2.06
42,0.53117,1.2981
23,1.0618,1.4968
18,1.7403,1.6927
10,1.7098,2.3277
31,2.2982,1.2449
20,0.56187,1.512
37,2.0525,2.0225
12,2.0136,1.8892
32,2.955,1.2448
34,0.49008,2.2847
30,2.7019,1.398
20,2.6194,1.2329
15,0.82114,1.4534
60,0.53651,2.1649
54,3.0804,1.6676
41,2.1778,2.4275
55,0.21009,1.9041
11,2.1152,1.2607
33,1.1643,1.9311
23,1.8417,2.4285
36,3.0171,1.5336
39,0.81812,1.2403
50,2.9445,1.2045
53,2.3631,2.1524
39,1.3547,1.3653
37,2.3731,1.9482
36,0.14093,1.8799
54,1.1436,1.9052
9,3.0244,2.2973
42,0.37073,1.4332
11,1.6513,1.9612
32,2.385,1.6399
39,2.6336,2.0178
50,1.367,1.4608
22,0.27662,1.1617
13,0.17081,1.792
34,0.90594,2.0258
19,0.54346,2.2596
0,0.25819,1.7357
17,1.1351,1.8953
2,1.3636,1.2521
39,1.3146,1.7953
44,1.247,1.7993
39,0.65676,1.5048
49,1.7331,1.8643
8,0.43349,1.9413
42,2.7371,1.6306
30,3.0651,1.2193
10,0.3216,1.4226
23,1.9423,1.5187
41,2.4493,1.1146
55,2.3676,2.3829
50,0.9632,2.297
58,1.849,2.2825
14,0.24923,1.1452
58,2.5927,1.4489
8,0.49354,1.9609
34,0.32348,1.892
22,2.8649,1.4667
24,1.5784,1.6733
12,2.1719,1.5796
38,2.4355,1.9536
7,2.3123,1.7498
28,2.82,1.9415
8,2.8733,1.5201
18,0.24066,1.5294
54,1.2649,1.4549
24,0.017248,1.3916
18,1.247,1.971
17,1.3821,2.3815
19,2.3534,2.1681
4,2.8079,1.8214
58,1.9172,1.6615
57,1.9673,2.0323
15,2.0598,1.3248
24,2.1374,2.149
56,2.887,1.3687
0,0.6738,1.939
39,0.55633,2.3881
32,1.3221,1.5248
39,1.7625,2.3361
3,2.473,1.762
30,2.5253,1.2641
54,0.61765,2.2976
27,2.6911,2.2049
58,0.096456,1.2102
32,1.0793,1.9845
8,0.31957,1.939
28,1.7219,1.1398
27,0.49182,1.7142
8,2.241,1.5101
50,0.66932,2.3292
19,0.43452,1.3857
48,0.64828,1.9119
22,1.4555,1.3708
42,1.3182,1.3802
25,0.36077,2.3876
11,1.3687,1.2226
32,0.64845,1.5443
39,1.399,1.1845
7,1.9664,1.1192
38,0.28656,2.2697
18,0.36827,2.3085
28,0.43672,1.9136
19,0.087832,2.0152
25,1.1671,2.232
29,2.0927,1.1419
39,1.8359,1.7006
50,0.54183,1.2437
50,1.283,1.4564
44,0.11417,1.6032
23,1.5625,1.7196
14,0.72681,2.0133
24,1.5293,1.6823
48,2.7401,2.0923
41,0.72737,2.2127
5,0.041104,1.465
27,0.66029,1.1368
47,0.87174,2.4552
50,0.085406,1.9519
36,1.9432,2.3504
45,0.44261,2.4054
41,2.0037,1.908
15,2.1023,1.1956
16,3.0405,1.1825
17,0.194,1.5506
29,2.1632,1.4623
54,2.0621,1.7288
51,2.3866,2.4247
34,2.3802,1.8022
44,2.0227,2.3856
7,0.87858,1.43
24,1.5013,2.2724
6,2.1016,1.1504
54,0.6654,1.1026
32,1.122,1.2323
49,2.0949,1.1798
47,1.0944,1.6436
47,1.0511,2.3019
32,0.64117,2.2937
55,1.3229,1.2298
22,2.3069,2.4799
46,1.0349,1.7882
50,1.9879,1.7051
19,2.5404,2.3593
22,2.6707,1.6968
35,1.0416,1.6845
24,1.9444,1.6939
25,0.41033,2.3159
26,1.4816,2.2294
30,2.1723,2.1516
20,1.8025,1.5008
58,3.0166,2.3403
3,0.12017,1.3164
53,2.3088,1.6809
40,0.15305,2.0977
15,1.6434,1.4526
57,2.3231,2.4878
17,2.9193,2.462
55,0.10152,1.1216
11,1.0269,1.3183
32,2.286,1.3866
31,2.3774,1.5282
39,0.70768,1.9615
30,1.4338,2.1901
22,0.66361,1.5407
48,0.81634,2.1165
24,2.097,1.4592
44,1.5135,1.689
18,1.5756,2.113
18,1.6348,1.3206
35,2.0814,1.822
20,2.4324,1.3344
5,0.9071,1.9112
38,2.7552,1.7036
11,0.24864,2.2068
11,1.7697,1.2451
0,3.1265,1.984
49,2.9371,1.5172
44,0.70867,2.4065
41,1.4455,1.1706
50,0.50121,1.8035
1,3.1024,1.7379
59,1.0262,2.3987
31,1.8853,1.5679
57,0.85711,1.8648
38,1.447,2.408
29,0.31683,2.2871
18,0.50774,1.4843
44,1.0045,1.2166
45,2.5067,2.2952
45,0.9179,2.0394
17,0.11873,1.8936
24,1.7331,1.6159
60,1.49,1.1239
18,1.1515,1.1748
57,2.2424,1.6881
9,0.68922,1.5025
31,3.0766,2.2341
51,0.51384,1.4489
44,0.50692,2.185
24,1.2787,1.8694
26,0.29822,2.3757
21,2.2458,2.1107
38,2.0104,2.2176
16,1.1945,2.4353
31,0.61927,1.4428
14,2.9436,2.0253
49,1.8445,1.3596
26,0.26492,2.0382
57,0.50863,2.4428
26,2.679,1.1607
25,0.94082,2.301
59,1.126,2.2079
23,2.3193,2.0801
47,0.6642,1.921
28,1.1037,1.7458
16,0.11088,2.2664
28,0.10132,1.7993
30,0.19838,2.3941
9,1.6133,1.7175
4,0.13639,2.3899
20,2.8483,1.35
55,0.23164,2.07
3,1.9906,1.8395
21,2.5224,1.294
33,1.1298,2.1065
14,1.3093,1.6414
44,3.0502,2.1281
50,0.38325,1.6178
36,0.079058,1.7431
13,2.0645,2.452
51,0.43125,2.1711
32,0.89688,2.3319
17,2.4934,1.5005
15,2.5845,1.9206
58,2.9786,1.8619
14,3.119,2.1488
14,2.6049,2.2737
60,0.69064,2.2349
41,0.7338,1.439
9,0.19625,2.064
35,1.7368,1.4573
52,2.2041,2.4881
50,1.8945,1.5682
31,0.20567,1.4603
40,2.09,1.255
45,0.82929,1.23
12,1.5702,1.8203
19,1.4938,1.1373
37,3.1304,2.0922
2,2.6602,2.256
4,2.788,2.4628
11,2.3252,2.0112
6,3.0617,1.9659
41,0.94332,2.0619
13,2.1369,2.0619
49,2.1012,1.7813
28,2.6851,2.1651
14,1.2759,1.8143
45,1.1345,1.6244
6,2.0622,2.4667
19,1.5929,1.2828
10,0.33801,2.3569
45,1.826,1.2449
39,3.107,1.9784
40,1.3611,2.0756
9,0.10941,1.1084
3,1.6618,2.3279
24,0.84064,1.718
38,1.6873,1.3334
2,0.52371,1.355
10,1.0591,1.8518
11,2.2078,1.7445
54,0.25159,1.6561
46,1.2373,1.9191
27,1.7595,1.3898
35,0.71267,1.6075
9,0.6078,1.744
23,0.77826,1.4209
54,1.6189,2.3879
9,0.054581,1.2611
6,0.80734,1.88
46,1.202,1.6971
22,1.0882,1.2976
41,2.6321,2.2393
26,0.71191,2.3176
18,0.16234,1.5601
48,2.5636,1.7867
14,2.0983,1.5531
50,3.081,1.3662
32,2.2872,1.5132
26,1.9314,1.255
33,2.6206,2.2641
50,1.1621,1.2899
54,2.9263,1.6321
9,0.50096,1.5061
12,0.92397,2.0254
55,1.6579,1.3517
15,2.5866,2.1383
6,2.9513,2.1331
7,2.6167,2.3808
0,1.9514,2.3757
37,0.42779,2.4951
40,2.0646,2.3957
57,0.13173,2.4951
6,0.76854,1.6457
13,2.3025,1.887
25,0.25583,1.6419
56,0.40524,1.3891
55,2.8704,1.1341
12,3.0837,1.8497
46,0.74959,1.5538
56,0.66271,2.2328
51,0.45071,1.6412
44,0.99393,1.2042
50,0.34715,1.1944
33,1.6087,1.6932
56,3.1076,1.9988
27,2.6429,1.5681
38,1.2704,1.3083
24,2.2971,1.407
6,1.6708,2.492
31,0.19336,1.2841
8,1.609,1.4959
28,0.89388,2.0911
15,3.1099,1.451
12,0.96428,1.1737
57,0.21482,1.2082
11,2.8217,1.1138
42,1.3907,2.0334
44,0.56811,1.1556
34,2.722,2.1907
4,0.0060461,2.3326
26,2.1181,1.2425
35,0.85481,1.1074
31,0.09098,1.2438
42,0.84679,1.2656
44,2.339,1.3734
49,2.8306,2.0496
23,1.3725,1.381
15,0.79647,2.2078
19,3.1377,2.1317
53,2.9768,2.2474
55,2.0111,2.2793
21,3.1372,1.7446
35,0.062084,2.4272
35,2.991,2.47
16,1.4245,2.1985
57,1.5589,2.3005
12,2.1099,1.1095
57,2.626,1.4008
21,2.7728,1.1342
48,1.8448,1.5366
48,0.64839,1.1701
22,1.9215,2.2803
29,0.74958,1.8035
57,2.9621,2.4739
55,1.8769,1.2443
53,0.14141,1.3752
36,2.0862,2.2717
22,1.7467,2.1943
33,1.375,1.8495
30,2.4773,1.3641
31,2.6503,1.7055
19,0.93337,1.3125
38,0.58548,2.0817
31,1.2724,1.4052
49,3.1251,2.2617
41,1.1366,2.1308
21,1.3838,2.177
31,1.6635,2.2483
45,1.2663,2.2034
36,1.7955,1.3534
30,1.3766,1.1211
36,1.0797,1.6616
29,3.0703,2.3637
14,1.9125,1.1095
37,1.545,1.9336
59,1.8896,1.5699
44,2.4232,2.0677
2,2.3462,1.4015
27,3.115,1.7885
23,1.7333,1.7396
7,1.6929,1.6687
18,3.0349,2.0259
1,1.8558,1.9186
42,0.80993,1.5945
13,1.5307,1.8668
56,0.22897,1.9872
40,0.67949,2.3423
59,0.90526,1.1961
41,2.5655,2.0741
11,0.47999,1.6802
2,1.4353,2.1005
18,2.473,1.6743
37,2.2018,1.3971
18,2.1831,2.4795
20,2.4861,1.5486
40,1.3243,1.9499
54,2.7963,1.7719
7,2.346,2.1692
32,3.1277,2.0231
41,0.63026,1.1021
21,2.1361,1.8602
17,2.1576,2.1541
10,1.6038,2.4367
42,0.14019,1.6469
52,1.4442,1.5569
47,2.9104,1.5952
33,2.9521,1.6908
1,2.4795,1.884
43,0.88982,2.4894
51,1.0446,2.3337
39,0.53438,2.0299
39,2.118,1.8082
15,1.4449,1.1295
38,2.562,2.295
37,0.82358,1.7055
38,2.6697,2.3248
26,2.9263,2.0943
46,0.10368,1.7535
16,2.0914,1.7074
5,0.52215,2.1604
15,1.9043,1.2704
11,0.59413,2.3073
15,0.22175,1.3156
15,2.045,2.355
45,1.5887,1.1671
9,2.0988,2.4783
38,2.0262,1.3651
17,2.7061,2.2783
24,0.54831,2.3039
26,2.8352,1.4598
39,1.0366,2.212
36,2.9298,1.7118
28,2.9086,1.2579
32,2.7535,1.301
43,2.9353,2.2822
40,1.9776,1.9524
45,2.0634,1.9731
15,2.6031,2.4246
51,0.49231,1.2336
30,2.6035,2.3405
