Position,Angle,Filter Size
0,1.7373,1.2261
-5,0.66361,1.5407
10,2.1513,2.1917
5,0.87502,1.6133
16,0.23185,1.3235
2,2.6323,1.6173
5,1.4733,1.3895
-4,1.4921,1.1095
15,0.42019,1.9398
11,0.75347,1.1168
4,3.0039,1.5842
-8,0.39928,2.4042
-13,0.53834,2.072
-7,2.635,1.3911
3,3.1058,2.1035
10,0.37945,2.0614
18,0.67287,1.3219
3,0.33644,2.427
-2,0.98009,1.8178
-12,1.8663,1.7952
-16,2.7856,1.208
9,2.6754,1.2423
2,3.1348,2.1231
-13,0.057823,2.3891
10,0.083952,1.1893
-7,2.1367,1.3302
-18,2.4507,2.1562
-19,2.044,2.0818
-7,2.0711,2.127
-6,1.763,1.9771
8,0.17544,1.6111
8,1.5845,2.1754
1,2.7536,1.9172
-2,1.8362,2.4394
-7,1.5621,1.9306
19,3.1116,1.9101
7,2.3257,2.2506
-2,2.5817,1.7529
6,2.5618,1.6527
-1,1.2269,1.904
10,1.3803,2.3312
-18,2.9772,1.289
-8,2.3968,1.7521
-9,1.9974,1.2499
-19,2.7189,2.2187
-9,2.3314,2.4919
-14,0.61455,2.4312
-14,0.19625,2.064
-18,1.1544,1.2781
9,0.2254,1.4427
9,3.0502,2.1281
17,1.0861,2.2751
9,1.7556,1.1397
-9,0.93117,1.4785
17,2.796,1.6424
11,1.6694,1.6594
-1,0.73601,2.0758
-4,0.10766,2.1358
17,0.19521,1.2788
9,2.878,1.7647
-6,2.7916,2.2682
-3,1.5616,1.1497
5,1.2261,2.0207
13,2.8234,2.0152
-10,1.4119,2.4953
3,1.723,1.4074
-5,1.1364,1.1445
11,2.8246,1.7623
15,2.9084,1.3412
-16,2.1426,1.9062
-13,1.8479,1.8849
7,1.9853,1.6166
-12,2.5231,1.8617
10,2.3336,1.9088
18,1.05,1.6885
-16,2.7725,1.1741
1,1.3352,1.3641
4,2.1427,1.9071
-10,1.0333,1.8873
15,2.6169,1.8585
-7,2.6934,1.1567
-11,2.0619,2.0119
12,3.0363,1.1678
6,0.13479,2.4117
-18,0.68658,2.3779
-12,2.0136,1.8892
-2,0.49182,1.7142
-12,1.4631,1.5009
-9,2.9129,1.7929
-2,1.8597,1.5113
10,1.2867,1.6028
4,2.3859,1.1061
-3,0.051376,1.5043
12,2.7496,2.0188
-4,2.6994,2.3248
-1,1.6226,1.7474
-5,2.3887,1.8419
-16,0.65249,1.9176
17,1.474,2.3459
-13,0.70684,1.6545
5,0.48332,2.3183
0,0.028666,2.3173
-9,3.0965,1.5533
-13,2.594,1.8735
15,1.7095,1.825
-3,2.6499,2.0357
-16,1.2014,1.8116
-5,0.17749,1.9861
7,1.8241,1.6092
13,0.29454,2.3567
8,1.0033,1.944
-13,1.2545,2.4373
13,0.82651,1.1035
18,0.57271,2.3435
8,2.4315,1.7455
10,0.56256,2.0319
-10,1.5627,1.3501
9,2.4427,1.198
6,1.4848,1.6116
16,0.27479,2.4352
-2,1.0941,1.843
-1,1.8226,1.9661
-10,1.252,1.8948
7,0.93874,2.4476
-11,1.6412,1.8571
18,1.5279,2.1696
17,0.11397,1.3045
-3,0.019601,1.853
-6,0.44553,1.5673
11,1.0085,1.6748
-16,1.8428,1.6738
8,0.31736,2.3074
-9,2.0597,2.2973
-17,0.069303,1.1889
6,1.3885,1.7171
16,1.7095,2.2745
19,1.9997,1.2101
-17,2.9096,1.6907
2,1.1643,1.9311
6,1.1172,1.2176
17,0.30505,1.3537
-19,1.22,2.1094
-9,1.0058,2.2473
-15,1.0521,1.4542
-9,0.95675,1.1161
-4,2.3524,1.3351
-18,1.1768,1.8435
15,2.2443,1.1816
2,1.3235,1.8861
4,1.8359,2.1885
13,3.081,1.3662
17,1.6202,1.1097
-7,1.4053,2.3941
18,1.1972,1.6917
-14,2.3723,1.7409
19,2.1532,1.7328
6,2.0581,2.4619
11,1.233,2.4402
-6,2.5514,1.2585
-6,2.2458,2.1107
13,0.52553,1.6576
-4,0.40398,2.0186
6,0.10974,1.7588
10,2.6888,2.3109
10,0.87716,1.737
15,1.511,1.2225
3,2.7248,1.2134
-11,2.2371,2.05
10,0.026623,2.0812
-11,2.6349,2.1947
-18,1.2881,1.5168
-15,1.6575,1.7371
6,1.4136,1.8115
2,1.061,1.5107
-1,0.93843,2.0423
0,1.9302,1.5742
11,1.0982,1.6857
-7,1.2696,1.2655
-10,0.87402,1.461
8,0.5114,2.0909
-3,1.2098,2.1979
-16,1.3161,1.2583
13,1.0676,2.0951
13,3.016,1.7817
-8,2.4185,2.1446
-8,2.8396,1.6933
16,3.0216,1.1021
10,0.75265,2.1621
-7,0.4169,2.3573
-6,2.7075,1.4343
-11,1.6579,1.5911
18,2.2423,1.9511
14,0.079557,2.4511
-6,1.2648,1.7519
18,1.6447,1.6354
12,1.9964,2.2622
-17,0.53132,1.2623
-4,0.93836,1.6698
2,2.0807,1.45
16,2.5687,1.7165
-4,1.7231,1.2406
0,2.1858,1.3884
-4,1.1056,1.6715
-18,2.2047,1.9124
-20,1.5277,1.3033
3,0.98753,1.6622
-4,1.1352,2.1085
9,2.9342,2.4766
9,0.03525,2.0071
20,0.9677,1.3156
5,2.2851,2.0769
19,1.539,1.4092
-5,3.0682,1.8589
-17,1.233,2.2125
-19,0.1277,1.9614
-3,1.7762,1.5431
10,0.2374,1.7024
-11,1.2767,2.1815
10,1.2153,1.7796
2,2.3327,1.3623
-12,2.2735,1.7029
-10,1.9456,1.6547
-7,0.89942,1.6171
12,2.7279,1.1472
4,1.1643,1.285
12,0.70062,1.2735
-18,3.0378,2.1198
5,2.4355,1.9536
-7,1.9515,2.3713
-14,2.3352,1.3568
8,1.5242,1.9351
18,0.946,1.4793
-16,0.40582,2.0507
12,0.87174,2.4552
-11,2.9824,1.9517
-14,2.4792,1.8261
-8,1.1069,1.5215
10,2.6197,1.5781
-15,0.70733,1.2136
-2,0.28461,1.8686
-12,2.8987,1.1915
1,0.35399,2.4645
18,1.6778,1.2748
6,2.8221,2.1782
-16,0.67671,1.3195
-4,1.5784,1.6733
-6,0.2014,2.0646
16,0.64897,1.5064
11,2.4209,1.3177
-9,2.1204,1.1357
17,2.0752,1.3862
-4,2.9787,1.3392
-9,2.5237,2.1732
-5,0.1308,2.273
-14,0.57201,1.2756
20,1.9652,1.5093
10,0.14406,2.3191
-9,0.5294,1.1083
13,1.5613,1.8812
-5,2.7842,1.2231
-13,2.8267,1.5566
-13,1.3687,1.2226
6,1.4665,1.2442
-3,2.0325,1.6135
17,1.3102,1.1003
-10,2.3315,1.8955
-5,0.59762,2.2104
19,1.5788,2.1679
6,0.90608,2.3222
-16,2.3716,1.8048
2,1.2478,1.2103
-7,0.52511,1.4547
-11,2.559,1.4345
-5,1.5625,1.7196
2,1.1199,2.2274
-10,2.1076,2.4984
-8,2.3407,1.3852
2,2.6862,2.1163
-15,2.7798,2.2302
7,1.4529,1.8232
-12,1.6609,1.7407
-15,0.62567,1.3317
-7,3.1377,2.1317
13,1.2664,2.3197
0,2.6888,2.1097
5,2.819,2.3261
13,2.1721,1.5163
-6,2.5001,1.7187
17,1.3749,1.8441
0,0.65609,2.1776
2,3.0941,1.514
2,0.8957,2.2175
14,2.0302,1.9642
-15,2.2979,1.6694
13,2.8057,1.5231
-12,0.23723,2.1599
6,2.2844,1.4111
-13,2.6415,1.8844
18,2.029,2.2
-19,1.0153,1.1838
9,2.5842,1.1294
18,1.7452,1.3914
0,3.1077,1.1022
-7,0.86067,2.152
0,0.93879,1.8495
-1,2.7665,1.124
-20,2.0682,1.7557
19,2.4811,1.8035
12,0.79663,1.5769
-12,0.44299,1.2658
13,0.11456,1.6544
-10,0.30572,1.5479
-7,1.0228,2.3553
-14,1.4292,2.4709
-15,1.6399,1.1969
-13,0.24113,1.5843
-4,0.54319,1.2798
12,2.3832,1.8101
6,1.7962,2.2583
-12,1.6402,1.1531
4,0.29308,1.8649
5,1.9108,2.2139
20,2.1604,1.1448
-5,3.0162,2.251
-10,0.73843,2.2415
0,1.2686,2.1336
-12,2.7976,2.058
11,0.92026,2.3721
-3,2.7261,2.1479
-13,1.6706,1.9467
2,0.35039,2.3003
-9,1.7334,2.32
1,3.1,1.8638
-15,0.22395,1.4673
-13,0.98618,1.4243
7,2.1428,2.4286
-13,1.0542,2.1243
5,0.8053,1.5423
-16,2.3414,1.5122
4,2.4436,1.2469
-17,1.1842,2.1621
4,0.4539,1.2161
8,2.318,1.6112
16,1.8769,1.2443
10,0.31696,1.4642
-16,2.3025,1.8044
-18,2.5445,1.9482
-11,1.4608,1.3767
8,0.014532,1.3266
-6,3.0891,1.5489
5,1.5864,2.489
-17,1.1689,1.3309
13,0.034221,1.2163
-9,3.1387,2.1374
-10,1.4625,1.8367
17,2.8468,2.1961
15,0.034435,1.5456
-6,2.2802,2.1382
-13,2.5141,2.2739
-14,2.5891,1.7215
13,1.7667,1.9635
12,0.98521,2.2949
-11,2.4981,2.1647
13,1.8628,2.0288
-16,2.2488,2.0898
7,2.9721,2.0558
-17,0.6867,1.13
-11,1.5905,1.4019
14,0.8404,1.52
9,2.1165,2.0538
17,2.2558,2.3207
-18,1.0426,1.922
19,0.88768,1.8472
-15,1.3525,1.7415
17,0.23389,1.144
9,0.51736,2.0544
4,0.85481,1.1074
-10,0.68813,1.336
0,0.12308,1.5961
-14,0.95836,1.8326
-6,0.90035,2.2671
3,1.957,1.6573
-3,2.4145,1.6474
3,1.4901,1.5053
14,2.3159,1.4068
2,2.3974,1.2208
-7,0.71184,1.7185
7,0.42924,2.092
4,1.7052,1.2758
-19,3.0687,1.4867
3,1.4491,2.0997
-2,1.2007,2.3226
9,1.7894,1.3461
19,1.261,1.3287
11,1.8071,1.5146
-17,1.6198,1.5737
14,1.7073,1.5965
-17,0.4877,2.3583
18,0.052063,2.4891
-18,0.81767,2.1687
5,1.6812,1.9269
-3,0.72654,1.2304
11,3.1188,1.2408
3,1.0788,1.836
-9,0.30264,2.1477
6,0.60901,1.4676
-8,0.45696,1.4376
12,0.48302,1.9283
16,0.57326,1.2663
3,0.7058,2.2087
19,2.871,1.4296
4,0.8607,1.5055
-1,0.10132,1.7993
-7,2.1559,1.9553
9,1.5731,2.3315
3,0.19466,2.0723
9,3.0821,1.1538
-1,1.674,1.4076
-18,1.3608,1.3041
0,1.5184,1.1866
-9,1.1334,2.185
-7,0.22105,1.8678
-6,0.14944,1.5026
11,0.19484,2.1457
19,0.69363,2.3988
-12,0.60788,2.0218
-2,0.69199,1.2092
-6,0.59395,2.0465
4,0.51168,1.917
7,0.7338,1.439
11,0.32817,1.7143
11,2.1599,1.1564
-16,2.0532,1.4497
10,0.39848,1.7221
12,2.8612,1.3892
20,1.3863,1.9539
-14,0.093453,1.9032
10,1.5841,1.6363
-13,1.2119,1.4772
-8,2.9609,1.6797
-13,0.084657,1.3572
-3,2.2798,2.3156
-19,1.2936,1.6145
-14,1.2213,1.459
14,2.7339,2.0378
-2,2.5144,1.8382
14,2.7635,1.1133
-4,0.32254,1.7152
7,0.15935,1.3456
13,0.54183,1.2437
5,2.1693,1.9913
7,0.81669,2.3915
17,1.8947,2.4893
6,0.36874,1.7485
-19,2.178,1.3349
9,0.56399,1.3873
18,1.0834,1.509
-12,0.0065768,1.1236
-4,2.2778,1.6665
-5,1.2268,2.3126
-9,2.9422,1.1268
6,0.0057848,1.4216
-7,0.087832,2.0152
-9,1.6271,1.3407
4,0.0056674,1.3214
-11,0.66088,2.1161
-18,1.8437,2.336
-1,2.85,1.6421
0,0.44943,1.4987
5,1.3796,2.1877
6,1.6575,1.5667
0,0.34679,2.4972
15,1.6558,1.5132
-2,2.092,2.2674
8,2.5178,1.8461
5,0.6159,1.8457
8,1.1774,2.4335
6,2.7616,1.358
-16,2.7327,2.1408
10,1.0911,2.3038
12,0.6205,2.1928
15,2.6044,1.2255
-18,1.6971,1.9653
-2,1.4734,2.3702
3,2.4508,1.9914
12,1.0571,1.1781
-19,2.5112,2.1985
10,1.958,2.0783
-9,2.818,1.3115
-6,2.2211,2.4009
17,2.2013,1.1228
-2,1.9433,1.6335
7,1.0683,1.4683
-8,2.3276,1.6515
-11,2.4145,2.0325
12,1.7767,1.727
6,1.2086,1.4358
-4,2.5769,2.0502
-6,1.1936,1.5563
-9,0.81369,1.8345
-6,0.11257,2.1544
16,0.45446,1.702
-3,2.0533,1.2345
-14,3.1202,2.3047
0,2.7681,1.3237
2,0.61715,1.885
7,1.65,2.0396
0,1.6934,1.2243
5,2.7787,1.8828
-10,0.11088,2.2664
12,2.661,2.3439
-4,2.3142,1.9327
10,2.496,2.2219
-14,1.0119,1.6787
0,2.1597,2.2271
-14,1.9943,1.757
-9,0.52171,2.0612
-12,1.6004,2.236
-4,0.88858,2.4123
-1,0.5003,2.3255
16,0.0081719,2.2173
4,0.61207,1.5781
-9,1.8198,2.4448
15,0.69,2.2618
18,0.78064,1.6887
-7,1.7879,2.0957
-18,0.018607,2.3586
8,2.3144,1.3123
-5,1.685,2.1315
-14,0.48907,1.6515
-15,0.79387,2.0625
18,0.040432,1.1368
16,2.6446,1.7628
-17,1.4554,1.2745
-3,2.2182,2.3017
-14,2.2701,1.7446
-6,2.3069,2.4799
-8,3.0046,1.5117
11,0.12651,1.3007
16,1.7385,1.8843
-9,2.3247,1.3058
-20,2.5188,1.5523
-18,1.5839,1.648
-18,0.73962,1.8834
12,0.21581,1.8798
-6,1.7745,1.5861
-11,2.4321,1.2634
-14,1.2695,2.1042
-16,0.1228,1.8657
-4,0.6726,1.6901
10,1.1493,1.6023
-11,2.8942,2.2545
-1,2.2976,1.5814
14,0.25311,2.3626
12,0.15523,2.1983
19,1.9172,1.6615
4,1.853,1.4379
18,0.64101,1.8646
-14,2.9525,1.4035
2,1.3638,1.6154
-2,0.16578,1.2278
18,0.078659,2.0067
-5,0.31178,1.4155
-8,1.4679,2.3893
-3,2.4326,2.3497
-1,1.8802,2.3031
15,0.81797,1.3971
8,0.93688,1.5982
-17,0.57493,2.4288
5,0.23875,1.2948
8,1.7129,1.2979
14,0.13044,2.0542
-5,0.91921,1.9663
2,1.9295,1.5174
-5,1.3285,1.3636
-6,1.6585,1.3334
6,2.1799,1.4939
-11,1.9442,1.6371
1,2.6503,1.7055
20,0.86158,2.2218
-8,0.80409,1.5018
-10,0.1263,1.2755
-12,0.50684,1.9184
9,0.1458,1.9473
-9,0.36597,1.7439
14,0.87602,1.9017
2,0.21498,2.2039
12,2.0999,1.6235
5,0.41206,1.6748
-5,0.904,2.3674
9,0.77788,2.488
5,1.7553,1.1754
-7,1.5189,2.3367
6,0.25827,2.2003
-5,1.0248,2.374
-14,2.8401,1.2163
-13,1.7584,2.2943
-2,1.6017,1.5243
-12,1.1122,2.2024
-19,0.0092069,1.9082
9,1.9612,2.0155
11,0.86714,1.4628
9,2.7259,1.4239
18,1.7807,1.2522
2,0.75192,2.116
-1,0.43672,1.9136
10,1.5184,2.491
-6,1.7011,2.4301
18,1.4322,1.6909
17,0.74866,1.1381
-10,1.8443,2.1496
1,2.4983,2.1847
-19,1.7619,2.3859
-16,1.1524,2.3891
15,0.30401,1.4278
-12,0.75022,1.2514
-15,1.1953,1.3521
-8,2.1499,2.1556
2,1.6905,1.3259
5,0.29642,2.0084
17,0.21009,1.9041
11,1.202,1.6971
0,0.87635,1.7507
1,2.133,1.8945
6,2.6089,1.2114
-10,2.5602,1.1335
4,0.59602,2.1794
6,0.19926,2.065
3,2.1129,1.4031
9,1.5205,1.6486
16,0.73148,2.005
1,2.9142,2.4064
-17,3.1035,1.4238
-14,2.7431,1.6149
10,1.0444,1.573
-11,2.0767,1.4319
12,2.5313,1.8845
2,2.3787,1.7267
5,1.1994,1.6814
-18,2.424,1.801
-12,2.3614,1.179
2,2.2583,2.1253
2,2.9808,2.3433
-6,2.1691,1.863
-4,1.7973,1.5201
13,0.45319,2.0169
15,1.1696,1.9135
-8,0.42393,2.2953
-17,1.4108,1.647
-10,1.9706,1.1768
9,2.0864,1.4246
1,0.89609,1.6324
8,0.95798,2.053
-7,2.3432,1.5944
-18,2.3815,2.1632
16,2.3758,1.826
7,1.2367,1.2006
-18,2.1247,2.0214
7,0.22265,1.342
-11,1.8555,1.7834
8,2.0358,1.3217
-15,1.0474,1.7349
5,0.33472,1.1475
16,1.3209,1.4043
-15,1.9031,2.201
-1,1.3763,1.713
-19,1.5316,2.4522
-6,3.0537,1.2073
3,3.1332,1.1639
-15,2.2315,1.4225
-16,0.029485,2.391
-18,2.4647,1.6749
-5,1.786,2.1245
-3,3.0728,2.1166
13,1.735,2.1041
-12,0.18907,1.5259
12,2.3048,2.0872
15,2.6714,2.124
20,1.8892,2.2331
17,1.2853,2.488
-8,1.6348,1.3206
16,0.95383,1.6411
-11,1.5435,1.2074
15,0.88636,1.8786
-10,0.94824,1.5617
-19,0.62701,2.0843
-5,2.6811,1.6547
8,3.0019,1.7869
16,2.9263,1.6321
-4,2.351,2.0396
-20,0.17412,2.1877
-19,2.342,1.2073
10,2.0549,1.8779
-3,0.32854,1.4728
17,0.40524,1.3891
3,1.359,1.3042
18,2.7008,1.6124
4,0.7812,2.0057
-16,0.49469,2.4981
17,2.5821,2.2426
-2,2.4443,1.8705
19,2.9626,1.9986
-13,0.81559,1.4902
-18,1.8955,1.665
2,1.4083,1.8536
-18,2.6681,2.4352
-2,0.7086,1.9675
8,1.8159,1.607
-7,2.5382,2.3484
-6,0.73622,1.6859
8,0.68515,1.7845
-15,2.887,1.2272
-16,1.9336,1.6761
16,1.5882,1.1783
-16,2.2642,1.538
-9,0.67462,2.0667
1,0.28207,1.7998
-3,0.96762,1.6409
-14,1.5135,1.3613
13,0.25357,2.1287
-11,1.4846,1.9783
2,3.068,1.8128
11,0.10368,1.7535
3,2.4487,1.1567
16,2.885,1.2192
12,1.8257,1.9897
-9,1.7902,1.5156
3,1.2846,2.0666
12,2.3966,2.3616
11,0.034415,1.7145
-12,1.0924,1.3765
-18,3.0234,1.4419
18,0.45968,1.2898
-16,2.2238,1.2062
-7,0.88288,1.167
-16,2.04,1.8775
-5,2.2893,2.3243
-16,0.042849,1.783
3,1.9012,2.0066
19,2.9025,2.1222
12,0.4457,1.3682
-18,2.1988,1.3584
15,1.6493,2.0796
-5,2.9746,1.4181
12,1.8445,1.3596
-7,1.8534,1.8053
-16,1.7689,1.7946
-3,0.78024,2.1462
5,1.3112,1.2851
19,2.2497,2.4746
15,0.35561,1.2617
-17,2.394,1.8425
-12,2.1601,1.7238
14,2.1432,1.42
0,2.4773,1.3641
-11,2.8164,1.7175
-2,0.094636,2.2382
-17,0.86397,2.423
-10,1.373,2.0324
5,2.3679,1.9668
-8,3.0879,1.912
-3,1.2459,1.1535
0,0.46911,2.09
-12,2.3353,1.5548
0,1.2255,2.1571
-13,2.2078,1.7445
10,1.8734,1.9465
12,1.0032,1.7735
13,1.6949,1.5767
14,0.062702,1.1805
-8,2.8453,1.857
-3,1.6909,2.1343
-3,0.25583,1.6419
7,0.83679,1.7873
17,2.4117,1.8565
4,0.11723,1.9627
4,2.62,1.221
13,0.66148,1.2253
1,1.9993,1.6346
-3,1.8817,2.2847
11,2.3643,2.3004
-18,1.7102,2.1912
15,1.8849,2.3113
3,0.10199,2.2736
-14,0.91044,2.0356
-17,2.8592,1.9269
-4,1.0618,1.4968
10,0.23919,1.3369
-6,1.9865,1.945
-4,0.16254,2.005
-19,0.89195,2.0392
-12,2.1957,1.9121
0,1.1883,1.9201
-4,1.1954,2.1107
-15,1.9763,1.5028
-13,0.01726,2.2543
-15,2.0428,1.5807
-15,1.9742,1.6785
-7,1.0297,1.9953
19,1.6849,1.3857
16,2.0273,1.3216
-13,0.325,1.3764
0,2.9646,1.5908
-10,2.8437,2.1675
5,2.5726,2.2894
-5,3.0523,2.3183
-11,0.77525,1.1695
-2,1.8496,1.6066
17,2.5728,1.8813
7,0.57719,2.1316
7,2.7452,1.2714
-6,2.7424,1.2344
2,0.84666,1.1524
16,0.25159,1.6561
12,1.7978,1.5833
15,1.125,1.8783
8,1.6158,1.7606
12,2.7484,1.418
-19,1.9413,1.6928
11,1.691,2.2147
15,0.22584,1.7647
8,0.0060383,1.1346
-8,2.3488,2.3011
-12,0.75874,2.2925
1,2.6958,1.8568
-12,1.6146,2.2232
-18,0.52812,2.4185
-1,2.9082,2.0125
3,2.6649,1.2183
-11,2.0751,1.8616
18,2.922,2.1031
-7,0.65587,1.2226
-15,1.326,2.4239
-7,2.7812,1.6059
-17,0.4389,2.3532
15,2.1024,2.3238
0,1.5662,2.3762
7,1.1667,1.8855
15,2.6448,1.6488
-10,0.37661,1.8115
